Time (ms);Marker 1 - 0
0;0,0118680160725489
8;0,00871351640671492
17;0,00555901674088091
25;0,00301657596137375
33;0,00127240929959953
42;0,000402246701742115
50;0,000514927000949683
58;0,00140191845803201
67;0,00254555026276648
75;0,00336705546360463
83;0,00356259969994426
92;0,00315760916564614
100;0,00233464060584083
108;0,00132563980878331
117;0,00038285696064122
125;-0,000288834696402773
133;-0,000659801642177627
142;-0,000947538815671578
150;-0,00139771122485399
158;-0,00192251608241349
167;-0,00214184024371207
175;-0,00174032523063943
184;-0,000576937838923186
192;0,00138069932581857
200;0,0039500295300968
209;0,00656088321702555
217;0,00834876839071512
225;0,00861583538353443
234;0,00720989264082164
242;0,00450812655035406
250;0,00139917472843081
259;-0,000790408370085061
267;-0,00086906508076936
275;0,00161795001477003
284;0,00627442640252411
292;0,0119547205511481
300;0,0170282606035471
309;0,0199138639494777
317;0,0195966761559248
325;0,0159561516251415
334;0,00988330566324294
342;0,00303962402977049
350;-0,00272280215285718
359;-0,00603552958928049
367;-0,00651277452707291
375;-0,00481927744112909
384;-0,00224317912943661
392;-4,64623561128974E-05
400;0,000981013651471585
409;0,000617180659901351
417;-0,000891747476998717
425;-0,00306267222622409
434;-0,00540554424514994
442;-0,00740946074947715
450;-0,00853699529543519
459;-0,00847992356866598
467;-0,00728708566166461
475;-0,00525664536107797
484;-0,00291413921222556
492;-0,000912600665469654
500;0,00030676114547532
509;0,0006870571145555
517;0,000390539655927569
526;-0,000407002691645175
534;-0,00157898754114285
542;-0,0029993811971508
551;-0,00444684743415564
559;-0,0055904793087393
567;-0,00613138135522604
576;-0,00595833659172058
584;-0,00519408611580729
592;-0,00419148751534522
601;-0,00347333350218833
609;-0,00351924696005881
617;-0,0045198333915323
626;-0,00630973069928586
634;-0,00842468123883009
642;-0,010175250004977
651;-0,0108491368591785
659;-0,0100312899798155
667;-0,00786329177208245
676;-0,00516189154004678
684;-0,00318943773163483
692;-0,00295218703104183
701;-0,00452367485268042
709;-0,00693624041741714
717;-0,008624615566805
726;-0,0081991376937367
734;-0,00519609820330516
742;-0,000354869815055281
751;0,00467897601192817
759;0,00808206725632772
767;0,00875778319314122
776;0,00680471914820373
784;0,00324138780124485
792;-0,000467732874676585
801;-0,00272353389300406
809;-0,00225104498676956
817;0,00132600562646985
826;0,00728397648781538
834;0,0140294283628464
843;0,0194903983734548
851;0,021717663295567
859;0,0197336851619184
868;0,0141047920100391
876;0,00674124481156468
884;6,56691379845142E-05
893;-0,00401130858808756
901;-0,00483171618543565
909;-0,00307712308131158
918;-0,000233043218031526
926;0,00222305790521204
934;0,00342193231917918
943;0,00316712118074065
951;0,00173794727161294
959;-0,00025225014105672
968;-0,00208732925966615
976;-0,00324650954134995
984;-0,00351503985002637
993;-0,00297267446585465
1001;-0,00195160073635634
1009;-0,000854614199488424
1018;5,78035280341283E-05
1026;0,000707544424221851
1034;0,00109973037033342
1043;0,0012477147160098
1051;0,00127625062596053
1059;0,00170246018096805
1068;0,00355674603488296
1076;0,00795054577756673
1084;0,0149802590487525
1093;0,0221888710279018
1101;0,0233407342806458
1109;0,0084843136370182
1118;-0,0342837106436491
1126;-0,115391294285655
1134;-0,239082425460219
1143;-0,398872411251068
1151;-0,57537154853344
1159;-0,738304704427719
1168;-0,85373523235321
1176;-0,895415234565735
1185;-0,855391323566437
1193;-0,747566616535187
1201;-0,602023911476135
1210;-0,453410410881043
1218;-0,328704333305359
1226;-0,239466935396194
